Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
1550	-17.4289	-15.44064	-1.988256	0.07069746	0	1	0.763337	0.2880875	9.804415	9.866756
1560	-19.18776	-17.25962	-1.928143	0.05671267	0	1	0.7109541	0.3650038	12.22209	9.988967
1570	-19.51929	-16.77676	-2.742528	0.09157571	0	1	0.8152436	0.3932715	7.569116	8.890682
1580	-19.01273	-16.771	-2.241734	0.08922687	0	1	0.8105091	0.2505225	7.768368	8.975381
1590	-18.34469	-16.06491	-2.27978	0.08336093	0	1	0.7976162	0.2947331	8.315013	9.584263
1600	-17.37973	-15.38201	-1.997719	0.07330759	0	1	0.771248	0.2751568	9.455327	9.640968
1610	-17.16642	-15.39638	-1.770041	0.06482433	0	1	0.7435852	0.2623494	10.6927	9.826689
1620	-19.06344	-17.38331	-1.680125	0.0713753	0	1	0.7654391	0.2086691	9.711303	9.869366
1630	-18.66397	-16.18421	-2.47976	0.08464323	0	1	0.800574	0.3503173	8.189044	9.057859
1640	-18.01176	-15.65967	-2.352095	0.08764157	0	1	0.807181	0.2893249	7.908886	9.188412
1650	-18.22232	-16.05697	-2.165352	0.07286018	0	1	0.7699266	0.3284771	9.513388	9.92407
1660	-17.15454	-15.4204	-1.734138	0.0610196	0	1	0.7291388	0.274379	11.35942	9.978673
1670	-17.39359	-15.51333	-1.880265	0.06744533	0	1	0.7527552	0.2770736	10.27717	9.650964
1680	-20.29967	-16.65825	-3.641415	0.1391019	0	1	0.8778438	0.3524411	4.983018	8.499469
1690	-17.13226	-15.27044	-1.861821	0.06591291	0	1	0.7474671	0.2810006	10.51611	9.987024
1700	-18.95767	-16.62691	-2.330765	0.07637	0	1	0.7799294	0.3597474	9.076171	9.857585
1710	-18.55783	-15.89752	-2.66031	0.09592584	0	1	0.8234392	0.3302906	7.225865	9.148117
1720	-27.58075	-19.82923	-7.75152	0.2951842	0	1	0.9424193	0.7828398	2.348185	8.727982
1730	-18.5648	-16.52576	-2.039034	0.08041125	0	1	0.7904892	0.2466365	8.620027	9.152877
1740	-18.41787	-16.14622	-2.271649	0.07728188	0	1	0.7823976	0.3325984	8.969078	9.775977
1750	-18.3681	-16.24563	-2.122473	0.07599743	0	1	0.7789059	0.2944226	9.120667	9.143218
1760	-18.70353	-17.23613	-1.467403	0.05469008	0	1	0.7016608	0.2403479	12.67409	9.95557
1770	-17.76209	-15.66675	-2.09534	0.07645895	0	1	0.7801724	0.283749	9.065612	9.710929
1780	-18.85836	-16.78405	-2.074315	0.06554824	0	1	0.7461785	0.35023	10.57461	9.5131
1790	-18.16476	-16.32448	-1.840282	0.07459261	0	1	0.7749665	0.2287513	9.292438	9.614252
1800	-20.69125	-17.39674	-3.294516	0.1108513	0	1	0.8468948	0.4537117	6.252948	8.974822
1810	-17.5571	-15.45781	-2.099288	0.07727079	0	1	0.7823679	0.2800057	8.970365	9.513765
1820	-21.14352	-18.40997	-2.73355	0.08239328	0	1	0.7953289	0.4736048	8.412667	9.207866
1830	-18.41503	-15.83458	-2.580445	0.09556243	0	1	0.8227814	0.3072984	7.253344	9.130661
1840	-19.15784	-16.1876	-2.970234	0.1119689	0	1	0.8484088	0.3203661	6.190534	8.922049
1850	-19.34056	-16.36361	-2.976954	0.1043904	0	1	0.8375296	0.3787966	6.639953	8.769297
1860	-18.73612	-16.14541	-2.590718	0.09934974	0	1	0.8294135	0.2864965	6.97684	8.874093
1870	-19.0126	-16.42505	-2.587549	0.09876941	0	1	0.8284285	0.2891286	7.017833	8.770441
1880	-18.12278	-16.18622	-1.936563	0.06555432	0	1	0.7462001	0.3051211	10.57363	9.529708
1890	-20.23539	-16.76877	-3.466618	0.1218589	0	1	0.8606272	0.4266573	5.688111	8.695753
1900	-17.40358	-15.53818	-1.865397	0.06416166	0	1	0.7411693	0.2926845	10.80314	9.809361
1910	-18.31977	-15.94619	-2.373575	0.08013427	0	1	0.7897958	0.3466564	8.649822	9.430338
1920	-17.42282	-15.64266	-1.78016	0.06877113	0	1	0.7571711	0.243726	10.07904	9.917219
1930	-18.57554	-15.92331	-2.652232	0.1001358	0	1	0.8307304	0.2996334	6.922072	8.947737
1940	-18.09202	-15.65024	-2.441781	0.08849766	0	1	0.8089919	0.3107753	7.832379	9.157166
1950	-17.92892	-15.93631	-1.992616	0.06442584	0	1	0.7421373	0.3305336	10.75884	9.853132
1960	-17.81327	-15.65171	-2.161563	0.08180293	0	1	0.7939095	0.2706736	8.473378	9.317679
1970	-18.38113	-15.85441	-2.526723	0.0954357	0	1	0.8225509	0.2920098	7.262976	9.025705
1980	-20.48736	-17.70422	-2.783146	0.1120322	0	1	0.8484937	0.2653457	6.187037	9.007933
1990	-17.83629	-15.58186	-2.254429	0.08323614	0	1	0.7973239	0.2881171	8.327479	9.365463
2000	-21.61308	-19.76679	-1.846289	0.06677802	0	1	0.7504772	0.2716373	10.37987	8.956119
2010	-19.29697	-17.25177	-2.045206	0.08478137	0	1	0.8008878	0.2261853	8.175702	9.355682
2020	-17.33948	-15.61732	-1.722159	0.06712829	0	1	0.7516777	0.2381511	10.32571	9.867009
2030	-17.47823	-15.42229	-2.055943	0.07508422	0	1	0.7763597	0.2808622	9.231596	9.614584
2040	-19.73118	-16.72429	-3.006888	0.1040867	0	1	0.837062	0.3928301	6.659323	8.679355
2050	-17.50853	-15.45919	-2.049341	0.07576795	0	1	0.7782712	0.2749954	9.148291	9.593273
2060	-18.86778	-16.07848	-2.789306	0.09803415	0	1	0.8271647	0.3593263	7.070467	9.073157
2070	-20.60145	-17.10127	-3.500184	0.1209945	0	1	0.859637	0.4493903	5.728752	8.685949
2080	-20.00308	-17.51136	-2.491712	0.07613694	0	1	0.7792902	0.4246627	9.103954	9.607219
2090	-20.9964	-19.18424	-1.812164	0.05107827	0	1	0.6837202	0.366314	13.57029	9.783364
2100	-18.44886	-16.01952	-2.429338	0.09230869	0	1	0.8166752	0.2830878	7.509014	9.241131
2110	-18.36407	-15.81175	-2.552326	0.09566484	0	1	0.8229672	0.2981293	7.24558	9.038259
2120	-19.70087	-16.32954	-3.371327	0.1280613	0	1	0.8673462	0.3400445	5.41262	8.695812
2130	-19.60541	-16.75365	-2.851756	0.0955006	0	1	0.822669	0.4036074	7.25804	9.171907
2140	-18.83011	-16.01002	-2.820089	0.1061944	0	1	0.840255	0.3116415	6.527153	8.838922
2150	-20.54701	-17.11863	-3.428381	0.1253858	0	1	0.8645279	0.3810398	5.528114	8.387486
2160	-18.78229	-16.5476	-2.234694	0.07635131	0	1	0.7798782	0.3269242	9.078393	9.081165
2170	-18.58963	-16.21996	-2.369672	0.07782949	0	1	0.7838552	0.362614	8.905971	9.49728
2180	-18.92205	-16.65286	-2.269191	0.07892638	0	1	0.786721	0.3204039	8.782199	8.979418
2190	-18.79337	-16.60709	-2.186283	0.08405511	0	1	0.7992276	0.2645004	8.246342	9.594852
2200	-18.55567	-16.0195	-2.536169	0.09042514	0	1	0.812953	0.3278501	7.665426	9.348215
2210	-18.64154	-16.47886	-2.162684	0.07956928	0	1	0.7883679	0.2841302	8.711241	9.021539
2220	-19.58785	-16.86355	-2.724299	0.08964202	0	1	0.8113627	0.4023428	7.732391	8.980189
2230	-22.56233	-19.97963	-2.582701	0.07813452	0	1	0.7846593	0.445811	8.871203	8.551692
2240	-18.51365	-15.83937	-2.674276	0.09621998	0	1	0.8239682	0.3328519	7.203776	9.076732
2250	-21.96061	-19.82397	-2.136636	0.09387006	0	1	0.8196549	0.2043682	7.384114	9.086663
2260	-21.54293	-17.72261	-3.820321	0.1315224	0	1	0.8708243	0.4950343	5.270184	8.777034
2270	-23.0183	-17.43884	-5.579466	0.2216194	0	1	0.923306	0.4249265	3.127647	8.533996
2280	-23.02201	-19.05364	-3.968374	0.1408542	0	1	0.8793601	0.4709064	4.921027	9.153865
2290	-18.31634	-15.87076	-2.445579	0.08434836	0	1	0.7999011	0.3406706	8.217672	9.207534
2300	-21.89376	-17.94491	-3.948843	0.147924	0	1	0.8851161	0.3974649	4.685832	8.966282
2310	-18.33266	-16.05206	-2.280596	0.08575444	0	1	0.803072	0.2803661	8.082931	9.021015
2320	-17.87645	-15.99984	-1.876617	0.06741215	0	1	0.7526429	0.2762592	10.28223	9.489881
2330	-17.53662	-15.43113	-2.105496	0.07469072	0	1	0.7752458	0.2976051	9.280231	9.58681
2340	-18.09127	-16.16285	-1.928412	0.06584826	0	1	0.7472395	0.3007622	10.52643	9.515526
2350	-18.77891	-16.68386	-2.095048	0.06534858	0	1	0.745468	0.3590852	10.60692	9.638022
2360	-19.22328	-17.17359	-2.049691	0.06392587	0	1	0.7402998	0.3536801	10.84298	9.479854
2370	-22.02928	-18.199	-3.83028	0.1292967	0	1	0.8686087	0.5241692	5.360903	8.752006
2380	-19.72328	-16.37747	-3.345814	0.122355	0	1	0.8611891	0.3741481	5.665051	8.601996
2390	-19.16424	-16.5619	-2.602341	0.09192782	0	1	0.815934	0.3392853	7.540124	8.760479
2400	-18.96663	-16.36897	-2.597668	0.08699344	0	1	0.8057882	0.3749814	7.96781	9.328976
2410	-21.3348	-17.47162	-3.863184	0.1356707	0	1	0.8747622	0.4731734	5.109039	8.458597
2420	-18.65588	-16.7236	-1.932284	0.07904432	0	1	0.7870249	0.2281885	8.769095	9.522544
2430	-17.17967	-15.4363	-1.74337	0.06641037	0	1	0.7492059	0.2469907	10.43733	9.873698
2440	-17.6877	-15.5712	-2.116502	0.0789344	0	1	0.7867417	0.2749867	8.781307	9.344213
2450	-18.33076	-15.8791	-2.451651	0.09333244	0	1	0.8186394	0.2832546	7.426648	9.082255
2460	-18.03875	-16.24359	-1.795155	0.07229446	0	1	0.7682356	0.2295854	9.587833	9.549529
2470	-18.20815	-16.4082	-1.799951	0.07327099	0	1	0.7711404	0.2259581	9.460049	9.713513
2480	-19.03372	-16.72799	-2.305727	0.07401895	0	1	0.7733203	0.3687997	9.364456	9.916415
2490	-17.89549	-15.84215	-2.053331	0.06717488	0	1	0.7518366	0.3313212	10.31855	9.961325
2500	-17.11851	-15.26229	-1.856218	0.06653005	0	1	0.7496211	0.2757953	10.41856	9.951968
2510	-18.68999	-16.10228	-2.587707	0.08933156	0	1	0.8107251	0.3532938	7.759264	9.310459
2520	-20.00244	-17.75716	-2.245275	0.07112729	0	1	0.764674	0.3691351	9.745165	9.059063
2530	-19.20398	-16.20601	-2.997972	0.1112345	0	1	0.8474173	0.3345497	6.231405	8.678162
2540	-17.47311	-15.82818	-1.64493	0.06480177	0	1	0.7435036	0.2316077	10.69642	9.845618
2550	-21.86956	-18.16501	-3.70455	0.1379077	0	1	0.8767885	0.3850447	5.026167	9.06137
