Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
156	0	-18.73063	-16.72862	-2.002009	0.09603352	0.8236332	0.3412224	7.217763	9.396211
157	1	-16.61396	-15.61571	-0.9982509	0.06599257	0.747747	0.23657	10.50341	9.892697
158	0	-17.73068	-16.06907	-1.661618	0.08386289	0.7987838	0.3143176	8.265244	9.010851
159	1	-22.08659	-20.63478	-1.451812	0.06505717	0.7444245	0.3798034	10.65443	8.738165
160	0	-23.47177	-17.56611	-5.905663	0.2575096	0.9339951	0.5498644	2.691733	8.545312
161	1	-22.03199	-17.92581	-4.106174	0.1848369	0.9080455	0.4250872	3.750047	8.797715
162	0	-17.00943	-16.03864	-0.970792	0.06426181	0.741537	0.2387727	10.7863	9.72735
163	1	-22.25302	-18.5671	-3.685922	0.1781749	0.9046082	0.3216327	3.890263	8.416052
164	0	-16.87642	-15.48815	-1.38827	0.07354171	0.7719339	0.2976954	9.425225	9.731413
165	1	-16.83	-15.76363	-1.066367	0.05928168	0.7220501	0.2920033	11.69243	9.967721
166	0	-17.54303	-16.04532	-1.49771	0.08549485	0.8024937	0.2577179	8.107473	9.189125
167	1	-18.86472	-16.7338	-2.13092	0.1036398	0.8363689	0.3303128	6.688041	8.589468
168	0	-18.12707	-16.08099	-2.046085	0.1038736	0.8367322	0.3019449	6.672988	9.000984
169	1	-16.92578	-15.70571	-1.220067	0.07055531	0.7628918	0.2680675	9.824168	9.984373
170	0	-21.67542	-17.38891	-4.286503	0.1860787	0.908659	0.4958503	3.725023	8.641479
171	1	-23.05914	-17.95604	-5.103105	0.2168122	0.9216056	0.584473	3.196993	8.393904
172	0	-19.10188	-16.44337	-2.65851	0.126176	0.8653725	0.3470308	5.493496	8.831268
173	1	-16.83924	-15.58956	-1.249675	0.07156495	0.7660212	0.2702703	9.685568	9.493506
174	0	-17.3978	-15.68278	-1.715021	0.08646669	0.8046422	0.3137366	8.016349	9.135432
175	1	-18.36538	-16.66058	-1.7048	0.07631992	0.7797923	0.3851555	9.082127	9.507237
176	0	-17.19982	-15.66949	-1.530332	0.07956433	0.7883553	0.3019716	8.711783	9.241607
177	1	-17.91708	-16.61932	-1.297763	0.08106502	0.7921091	0.2318102	8.550509	9.33838
178	0	-18.91646	-17.40211	-1.51435	0.07562511	0.7778744	0.3230931	9.165569	8.919446
179	1	-21.38618	-18.8022	-2.583985	0.1355644	0.8746643	0.2639253	5.113048	8.624358
180	0	-17.44141	-16.0832	-1.35821	0.07794729	0.7841664	0.2630974	8.892511	9.718057
181	1	-19.39928	-16.51927	-2.880003	0.1333214	0.8725617	0.3721445	5.199071	8.785202
182	0	-19.73932	-16.80838	-2.930946	0.1378425	0.8767303	0.3557706	5.028545	8.446215
183	1	-18.33757	-16.107	-2.230574	0.1080178	0.8429206	0.3325512	6.416973	8.731879
184	0	-16.99457	-15.73307	-1.261502	0.06660698	0.7498873	0.3038266	10.40652	9.643448
185	1	-21.21218	-17.21998	-3.9922	0.1834335	0.9073421	0.3907631	3.778739	8.616286
186	0	-17.87676	-16.09129	-1.785475	0.0850553	0.8015073	0.3468727	8.149371	9.447356
187	1	-17.69289	-15.93505	-1.75784	0.08620291	0.8040634	0.3293004	8.040879	9.422883
188	0	-18.29577	-16.48671	-1.809067	0.095515	0.8226952	0.2844608	7.256946	9.285808
189	1	-22.72908	-18.02346	-4.705628	0.2183571	0.9221603	0.3801062	3.174374	8.446927
190	0	-22.63254	-18.84242	-3.790112	0.178111	0.904574	0.3574358	3.891658	8.818464
191	1	-19.30656	-17.46363	-1.84293	0.08106826	0.7921171	0.3998213	8.550167	8.943016
192	0	-17.97346	-16.18783	-1.785624	0.09650823	0.8244837	0.2720746	7.18226	9.016995
193	1	-16.74012	-15.48887	-1.251254	0.07341098	0.7715513	0.2602983	9.44201	9.612643
194	0	-17.52013	-16.18527	-1.334861	0.0649902	0.7441836	0.3383648	10.66541	9.732203
195	1	-17.41536	-15.98427	-1.431095	0.06932471	0.7589727	0.3398078	9.998559	9.902731
196	0	-17.37345	-16.33139	-1.042058	0.06973774	0.7603012	0.2282813	9.939341	9.965721
197	1	-21.06452	-17.9152	-3.149322	0.1427156	0.8809306	0.3991167	4.856841	8.216238
198	0	-18.86644	-17.3119	-1.554539	0.07005097	0.7612997	0.3785746	9.894898	9.278463
199	1	-19.83489	-17.75726	-2.077633	0.08900355	0.8100469	0.4272349	7.78786	9.557377
200	0	-18.81379	-17.00297	-1.81082	0.07923354	0.7875108	0.4025586	8.748154	9.287963
201	1	-19.98972	-17.59605	-2.393665	0.1185345	0.8567422	0.3131618	5.847641	8.413009
202	0	-18.32648	-16.15192	-2.174553	0.1044656	0.837645	0.339051	6.635173	8.734819
203	1	-17.09678	-15.73288	-1.363898	0.06930613	0.7589126	0.3178493	10.00124	9.608248
204	0	-18.17749	-15.996	-2.181488	0.1064237	0.8405951	0.327515	6.513089	8.801217
205	1	-26.39219	-23.02279	-3.3694	0.1225759	0.861438	0.7625718	5.65484	8.293808
206	0	-19.62996	-17.53854	-2.09142	0.1026479	0.8348102	0.3242734	6.752665	8.47367
207	1	-16.91897	-15.62109	-1.297877	0.06859138	0.7565808	0.3020895	10.10546	9.606684
208	0	-17.21679	-15.63803	-1.578763	0.07959632	0.7884367	0.3167412	8.708281	9.501143
209	1	-19.04164	-17.00218	-2.039465	0.09047455	0.8130525	0.3985971	7.661239	9.42184
210	0	-21.24624	-17.19107	-4.055177	0.1758511	0.903348	0.488811	3.941671	8.509154
211	1	-17.86884	-16.62754	-1.241293	0.072519	0.7689095	0.2626429	9.558145	9.22068
212	0	-18.42549	-17.5174	-0.9080869	0.06366859	0.7393451	0.227101	10.8868	9.541343
213	1	-21.03468	-17.92342	-3.111256	0.1361053	0.875161	0.4420661	5.092726	8.247182
214	0	-18.8828	-16.88944	-1.99336	0.08718876	0.80621	0.4081237	7.94996	9.218972
215	1	-17.43094	-16.54384	-0.8870989	0.06288737	0.7364073	0.2261016	11.02204	9.750232
216	0	-18.23299	-16.0363	-2.196689	0.1033517	0.8359191	0.354931	6.706685	8.969936
217	1	-18.54316	-16.94191	-1.601251	0.07768792	0.7834801	0.3373325	8.922201	9.974718
218	0	-16.7395	-15.5552	-1.184296	0.07155139	0.7659797	0.2532384	9.687404	9.616228
219	1	-20.68286	-19.478	-1.204865	0.08231961	0.7951528	0.205696	8.420195	9.04459
220	0	-18.33239	-16.28493	-2.047459	0.09625755	0.8240356	0.355395	7.200964	9.245634
221	1	-19.76781	-17.56545	-2.202362	0.09301785	0.8180401	0.4444686	7.451765	8.921129
222	0	-19.46699	-17.92919	-1.5378	0.06463034	0.7428822	0.4176732	10.7248	9.678046
223	1	-17.42675	-15.83695	-1.589793	0.07706616	0.7818183	0.3379184	8.994183	9.48425
224	0	-17.39477	-16.45341	-0.9413643	0.06660612	0.7498843	0.2205971	10.40666	9.706112
225	1	-18.47883	-16.26429	-2.214548	0.1029086	0.8352225	0.3647401	6.735564	9.084131
226	0	-18.79751	-16.87786	-1.919649	0.1016531	0.8332176	0.2789203	6.818749	8.702311
227	1	-18.78354	-16.33342	-2.45012	0.1114943	0.8477695	0.3847401	6.216884	8.758209
228	0	-16.92856	-15.97161	-0.9569521	0.05864104	0.7193538	0.2653221	11.82017	9.913325
229	1	-19.02945	-17.38202	-1.647436	0.07060576	0.7630499	0.4105661	9.817148	9.60796
230	0	-18.76808	-16.69903	-2.069047	0.09755981	0.8263398	0.353253	7.104844	8.664981
231	1	-20.82482	-17.2518	-3.573029	0.1550335	0.8903782	0.4694565	4.47095	8.414067
232	0	-19.61301	-18.01245	-1.600561	0.07756886	0.7831638	0.3379527	8.935895	8.768227
233	1	-17.94091	-16.51451	-1.426403	0.0764635	0.7801849	0.2906743	9.065072	9.076159
234	0	-18.76605	-17.85931	-0.9067398	0.06582227	0.7471479	0.2166638	10.53059	9.492564
235	1	-18.36144	-16.44626	-1.915185	0.09488254	0.8215379	0.3205807	7.305319	8.74105
236	0	-18.83981	-16.72154	-2.118265	0.09590004	0.8233927	0.3843764	7.227809	8.769715
237	1	-21.54014	-19.74668	-1.793461	0.07054972	0.7628742	0.4756829	9.824945	9.035225
238	0	-17.61624	-16.33771	-1.27853	0.0621486	0.7335743	0.33971	11.15306	9.828522
239	1	-22.39257	-20.11404	-2.278537	0.09288756	0.8177908	0.4809772	7.462217	8.296732
240	0	-18.82213	-16.22895	-2.593176	0.1198914	0.8583533	0.3714588	5.781458	8.760748
241	1	-18.39721	-17.02901	-1.368207	0.06444117	0.7421933	0.3539378	10.75628	9.502911
242	0	-18.4701	-16.93369	-1.536409	0.06799632	0.754608	0.3883407	10.19389	9.899852
243	1	-16.65559	-15.36751	-1.28808	0.07007801	0.7613856	0.2898549	9.891079	9.821102
244	0	-19.63907	-17.96309	-1.675981	0.06923156	0.7586712	0.434955	10.01201	9.707359
245	1	-17.60456	-16.19461	-1.409951	0.07430708	0.7741499	0.2993193	9.328145	9.972113
246	0	-17.88902	-15.92053	-1.968481	0.1003512	0.8310879	0.3010825	6.907211	8.937088
247	1	-16.96478	-15.5059	-1.45888	0.07669323	0.7808102	0.2988091	9.037918	9.408567
248	0	-18.92774	-16.52338	-2.404366	0.1148687	0.8522037	0.3421366	6.034257	8.561698
249	1	-19.09145	-16.74064	-2.350811	0.1076721	0.8424219	0.3778005	6.437576	8.583506
250	0	-18.06743	-16.48766	-1.579772	0.07794507	0.7841606	0.3283674	8.892765	9.870367
251	1	-17.04906	-15.59456	-1.4545	0.07465692	0.7751497	0.3106404	9.284433	9.696672
252	0	-18.20938	-16.34604	-1.863342	0.08576222	0.8030892	0.3693792	8.082197	9.084854
253	1	-16.99538	-16.10308	-0.8923018	0.05756922	0.7147388	0.2544332	12.04024	9.960273
254	0	-17.26112	-16.4141	-0.8470243	0.06286796	0.7363335	0.2173093	11.02544	9.872908
255	1	-17.1988	-15.82195	-1.376844	0.07454478	0.7748301	0.288115	9.2984	9.301208
256	0	-17.60792	-16.0916	-1.51632	0.08581332	0.8032027	0.2607906	8.077385	9.119779
