Iteration	Posterior	Likelihood	Prior	sigma2
2610	-13.0078	-14.8952	1.887403	0.03786616
2620	-13.11555	-15.29208	2.176525	0.02835877
2630	-14.37064	-15.74755	1.376914	0.06308903
2640	-13.56323	-15.90382	2.34059	0.0240677
2650	-13.28826	-14.99925	1.710994	0.04517152
2660	-12.97848	-14.90451	1.926027	0.03643151
2670	-12.98081	-14.90305	1.922239	0.03656977
2680	-13.19728	-15.41437	2.21709	0.02723141
2690	-14.24581	-16.73196	2.486152	0.0208074
2700	-13.5932	-15.94175	2.348545	0.02387702
2710	-13.68999	-15.25239	1.562403	0.05240794
2720	-12.97845	-14.90454	1.926092	0.03642913
2730	-13.33968	-15.61242	2.272749	0.02575714
2740	-12.96806	-15.01067	2.042606	0.03242258
2750	-13.39603	-15.06166	1.665627	0.04726802
2760	-13.39603	-15.06166	1.665627	0.04726802
2770	-13.07448	-15.22627	2.151788	0.02906901
2780	-13.40189	-15.0652	1.663315	0.04737744
2790	-16.12147	-17.14239	1.02092	0.09006583
2800	-13.1349	-15.32188	2.186983	0.02806373
2810	-13.64325	-16.00462	2.361372	0.02357269
2820	-13.20169	-14.95427	1.752587	0.04333125
2830	-13.87402	-16.28862	2.414597	0.02235085
2840	-13.6562	-15.2294	1.573206	0.05184484
2850	-13.34988	-15.03424	1.684361	0.04639074
2860	-13.23086	-14.96877	1.737912	0.04397184
2870	-12.97886	-14.90426	1.925394	0.03645456
2880	-13.02796	-15.14529	2.117326	0.03008827
2890	-12.99774	-14.8967	1.898965	0.03743087
2900	-14.60492	-15.92708	1.322164	0.06663949
2910	-14.22884	-15.64065	1.411815	0.06092512
2920	-13.58383	-15.92991	2.346079	0.02393595
2930	-13.12772	-14.92167	1.793947	0.04157561
2940	-14.29784	-15.69248	1.394647	0.06198011
2950	-13.7744	-16.16708	2.392677	0.02284617
2960	-12.95777	-14.95797	2.000201	0.03382703
2970	-13.43477	-15.7385	2.303733	0.02497131
2980	-13.64935	-15.22477	1.575421	0.05173013
2990	-12.95854	-14.96749	2.008954	0.03353224
3000	-13.34355	-15.03056	1.687003	0.04626832
3010	-13.28604	-14.99803	1.711992	0.04512646
3020	-14.12104	-15.56045	1.439412	0.05926679
3030	-12.9612	-14.9278	1.9666	0.03498295
3040	-15.6351	-16.74534	1.11024	0.08236998
3050	-13.24906	-15.48806	2.238996	0.02664136
3060	-13.04518	-14.89725	1.852077	0.03922774
3070	-13.32035	-15.01722	1.696867	0.04581421
3080	-13.52374	-15.85351	2.329767	0.02432962
3090	-12.99278	-14.89796	1.905182	0.03719889
3100	-13.09155	-14.90881	1.817257	0.04061771
3110	-14.14622	-15.5791	1.432875	0.0596555
3120	-13.82315	-15.34492	1.521767	0.05458146
3130	-13.4813	-15.79895	2.317654	0.02462609
3140	-13.68622	-16.05819	2.371973	0.02332412
3150	-13.1392	-15.32842	2.189226	0.02800085
3160	-13.35891	-15.63824	2.27933	0.02558819
