Iteration	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
1710	-17.33156	-15.86047	-1.471089	0.07165295	0.7662904	0.3366247	9.673672	9.675857
1720	-18.97535	-16.96003	-2.015316	0.08866083	0.8093334	0.4043536	7.817964	9.382189
1730	-20.88602	-19.10155	-1.784468	0.06941772	0.759273	0.4828854	9.985162	9.916033
1740	-17.85733	-16.27596	-1.581363	0.0876182	0.8071312	0.267859	7.910995	8.991971
1750	-18.99813	-16.34014	-2.657984	0.1253389	0.8644774	0.3530647	5.530186	8.805546
1760	-17.28888	-16.17023	-1.118646	0.06703548	0.7513606	0.2609969	10.34001	9.492849
1770	-17.37897	-15.90929	-1.469679	0.07136326	0.7654021	0.3382231	9.712941	9.624864
1780	-18.12686	-16.55526	-1.571596	0.08209793	0.7946211	0.2982208	8.442931	8.933409
1790	-21.49219	-17.08835	-4.403838	0.1964255	0.9134698	0.4476668	3.528804	8.408405
1800	-19.30788	-16.49308	-2.814807	0.1266776	0.8659032	0.4014435	5.471744	8.638561
1810	-17.68525	-16.29218	-1.393071	0.07338467	0.7714742	0.3001265	9.445395	9.205331
1820	-17.75804	-15.99717	-1.760868	0.08972403	0.8115304	0.3065192	7.725324	8.933708
1830	-18.49452	-16.12851	-2.366015	0.1128594	0.8495944	0.3436059	6.141686	8.901644
1840	-18.92812	-17.26998	-1.658132	0.07826685	0.7850064	0.3527168	8.856204	9.999578
1850	-19.14919	-17.2841	-1.865087	0.1008753	0.8319514	0.2685053	6.87133	8.687048
1860	-20.85963	-19.24717	-1.61246	0.06227276	0.7340542	0.4731382	11.13082	9.884242
1870	-17.572	-15.74522	-1.826784	0.09093491	0.8139745	0.319099	7.622454	9.049353
1880	-20.85713	-19.95139	-0.9057488	0.05063692	0.6814008	0.2987444	13.68857	9.630995
1890	-25.40196	-18.86168	-6.540284	0.2881619	0.9410161	0.5412335	2.405408	8.126968
1900	-18.07471	-16.58174	-1.492974	0.08638341	0.8044598	0.2517091	8.024078	9.423796
1910	-18.71803	-17.25806	-1.459968	0.08811804	0.8081929	0.2347356	7.866121	9.029492
1920	-16.78249	-15.76177	-1.020717	0.0593708	0.7224215	0.2784458	11.67488	9.934101
1930	-17.24658	-16.27138	-0.9752081	0.05592513	0.7073962	0.2862404	12.3942	9.997528
1940	-18.00337	-16.10314	-1.900225	0.08854525	0.8090916	0.3612791	7.828169	9.223555
1950	-17.42323	-16.07167	-1.351554	0.07295104	0.7701961	0.2905828	9.501539	9.274308
1960	-17.76818	-16.52794	-1.240236	0.06634415	0.7489757	0.2990973	10.44775	9.398694
1970	-23.07981	-19.81019	-3.269619	0.1297135	0.8690293	0.5931557	5.343679	9.020404
1980	-23.04823	-19.06553	-3.982702	0.1789906	0.9050428	0.4253362	3.872533	8.955981
1990	-17.87006	-16.03314	-1.83692	0.09222825	0.8165191	0.3136235	7.515562	9.31671
2000	-17.65679	-16.22601	-1.430782	0.08345932	0.7978461	0.2516733	8.30521	9.167871
2010	-18.49542	-16.62898	-1.866442	0.0907332	0.8135716	0.3334323	7.6394	9.504852
2020	-22.08068	-20.17664	-1.904039	0.07433973	0.7742436	0.4902454	9.324048	8.814379
2030	-20.25008	-17.29025	-2.959837	0.1310665	0.8703766	0.4228267	5.288513	8.959311
2040	-17.86827	-16.72884	-1.139428	0.07012799	0.7615441	0.249552	9.884031	9.322697
2050	-17.45685	-16.42651	-1.030338	0.06960501	0.7598757	0.2262579	9.958295	9.979626
2060	-19.7448	-16.87909	-2.865702	0.1251212	0.8642428	0.4365867	5.539804	8.742583
2070	-22.48331	-18.55106	-3.932247	0.1645614	0.8967203	0.5492826	4.212089	8.842774
2080	-17.58166	-15.83482	-1.746837	0.08461926	0.8005195	0.3368282	8.191364	9.19172
2090	-22.29874	-17.68822	-4.610517	0.2074634	0.9180732	0.435504	3.341058	8.687987
2100	-17.38003	-16.07031	-1.309724	0.07544386	0.7773689	0.2643202	9.187588	9.834286
2110	-17.8553	-16.79844	-1.05686	0.06315881	0.7374347	0.2663964	10.97467	9.506608
2120	-18.77629	-16.81075	-1.965539	0.08953251	0.8111382	0.3776681	7.741849	8.832541
2130	-20.26373	-16.79238	-3.471359	0.1578284	0.8923177	0.3996539	4.391778	8.673084
2140	-20.36805	-16.99281	-3.375238	0.1571965	0.8918852	0.3679281	4.409432	8.700093
2150	-17.1255	-15.78369	-1.341812	0.06671184	0.7502493	0.3285018	10.39017	9.930471
2160	-16.96846	-15.83732	-1.131138	0.06347181	0.7386106	0.2850377	10.92055	9.702561
2170	-18.51568	-16.23295	-2.282734	0.1077862	0.8425868	0.3520835	6.430762	9.028753
2180	-19.06691	-16.97879	-2.088114	0.1075216	0.8422038	0.2914485	6.446586	8.607116
2190	-19.30921	-16.75179	-2.557419	0.1145876	0.851844	0.4011065	6.049059	8.9956
2200	-17.58157	-16.24335	-1.338217	0.0807582	0.7913518	0.2429569	8.582994	9.288775
2210	-17.4041	-16.07465	-1.329449	0.0669385	0.7510285	0.3229087	10.35499	9.569428
2220	-17.27496	-15.65927	-1.615694	0.08211151	0.7946537	0.3115762	8.441535	9.217874
2230	-17.92124	-16.12706	-1.794175	0.08820094	0.808368	0.3273098	7.858728	8.926712
2240	-16.5691	-15.38993	-1.179165	0.06431534	0.7417332	0.293756	10.77732	9.917701
2250	-16.93243	-15.55863	-1.373806	0.07444904	0.7745566	0.2878251	9.310358	9.7543
2260	-18.57107	-16.61841	-1.952666	0.1011173	0.8323474	0.2915797	6.854883	9.196697
2270	-17.06838	-16.09697	-0.9714074	0.0607683	0.7281337	0.2573043	11.40639	9.785181
2280	-17.79786	-16.35286	-1.445	0.07279541	0.7697342	0.3201011	9.521853	9.231223
2290	-17.5948	-16.27181	-1.322989	0.07709352	0.781892	0.2586357	8.990992	9.782902
2300	-16.78629	-15.42872	-1.357575	0.07225911	0.7681292	0.2966618	9.592523	9.737051
2310	-17.08346	-15.62711	-1.456349	0.0801852	0.7899236	0.2767668	8.644329	9.504609
2320	-16.48814	-15.56342	-0.9247182	0.06273278	0.7358189	0.2355408	11.0492	9.997759
2330	-19.99729	-17.31541	-2.681876	0.1183089	0.8564708	0.4197745	5.85879	8.437292
2340	-18.45299	-17.74337	-0.709624	0.05563315	0.7060577	0.2208412	12.45925	9.93125
2350	-17.07079	-15.69994	-1.370851	0.06974459	0.7603231	0.317103	9.938365	9.606397
2360	-17.66488	-16.82428	-0.840603	0.06351535	0.7387735	0.2129724	10.91306	9.795609
2370	-18.21775	-16.09422	-2.123533	0.1065386	0.840765	0.3083204	6.506064	8.792099
2380	-18.78236	-17.15161	-1.630753	0.0731829	0.7708811	0.3822856	9.471436	9.231005
2390	-16.44559	-15.29133	-1.154265	0.06776635	0.7538377	0.2662987	10.22849	9.879733
2400	-17.17482	-15.58632	-1.588504	0.08199009	0.7943615	0.3040009	8.454036	9.253689
2410	-19.50803	-16.77159	-2.736436	0.1230064	0.8619204	0.4012554	5.635051	8.512024
