Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
326	0	-13.24758	-15.48598	2.2384	0.02665725
327	1	-13.07768	-15.23155	2.153868	0.02900861
328	0	-13.31077	-15.0118	1.701021	0.04562426
329	1	-14.02413	-16.46933	2.445196	0.02167729
330	0	-12.99885	-14.89647	1.897625	0.03748106
331	1	-13.53403	-15.14832	1.614291	0.04975795
332	0	-13.34528	-15.03156	1.686281	0.04630175
333	1	-13.11441	-14.91664	1.802225	0.04123288
334	0	-13.50786	-15.13143	1.623573	0.04929821
335	1	-13.05631	-14.89935	1.843046	0.03958359
336	0	-13.13052	-15.31519	2.184671	0.02812869
337	1	-12.98911	-15.06644	2.077338	0.03131582
338	0	-13.89704	-16.3165	2.419465	0.0222423
339	1	-13.56787	-15.9097	2.341835	0.02403777
340	0	-13.61741	-15.97222	2.354816	0.02372774
341	1	-13.05354	-14.89878	1.845241	0.0394968
342	0	-14.87075	-16.13435	1.263596	0.07065896
343	1	-13.92885	-16.35493	2.426083	0.02209558
344	0	-14.9368	-16.18634	1.249539	0.07165923
345	1	-12.96178	-14.92617	1.964386	0.03506048
346	0	-14.04535	-15.50476	1.459415	0.05809304
347	1	-12.97214	-14.9097	1.937553	0.036014
348	0	-13.19141	-14.94936	1.757947	0.04309961
349	1	-13.60983	-15.9627	2.352868	0.02377402
350	0	-12.9583	-14.94105	1.982757	0.03442229
351	1	-13.00194	-15.09441	2.092469	0.03084552
352	0	-12.98475	-14.90098	1.916226	0.03679033
353	1	-13.04695	-14.89755	1.850601	0.03928568
354	0	-15.18892	-16.38635	1.197429	0.07549239
355	1	-12.98922	-14.89913	1.909905	0.03702363
356	0	-14.15135	-16.62059	2.469242	0.02116225
357	1	-13.13048	-15.31513	2.184651	0.02812926
358	0	-13.01164	-15.11409	2.10245	0.0305392
359	1	-13.80675	-15.33337	1.526622	0.05431707
360	0	-15.47538	-16.61618	1.140796	0.07989112
361	1	-16.53862	-17.48664	0.9480252	0.09687638
362	0	-13.82707	-15.34769	1.520611	0.05464456
363	1	-12.96085	-14.98232	2.021464	0.03311533
364	0	-13.51728	-15.84524	2.327956	0.02437371
365	1	-13.54648	-15.15642	1.609943	0.04997477
366	0	-12.96235	-14.98939	2.027038	0.03293128
367	1	-12.97264	-15.02469	2.052052	0.03211775
368	0	-14.33367	-15.71954	1.385871	0.06252644
369	1	-12.96534	-14.91855	1.95321	0.03545452
370	0	-13.25201	-15.49218	2.240177	0.02660991
371	1	-13.08063	-15.23639	2.155759	0.02895382
372	0	-13.07652	-14.90433	1.827808	0.04019141
373	1	-13.1707	-14.93979	1.769088	0.04262209
374	0	-13.27005	-14.98933	1.719286	0.04479853
375	1	-13.06431	-14.90116	1.83685	0.03982963
376	0	-12.9621	-14.98829	2.026192	0.03295914
377	1	-12.96578	-14.91782	1.952045	0.03549585
378	0	-13.16589	-14.93764	1.771749	0.04250884
379	1	-13.08527	-15.24395	2.158679	0.0288694
380	0	-13.23364	-14.97019	1.736552	0.04403167
381	1	-13.11011	-14.91508	1.80497	0.04111987
382	0	-13.27586	-14.99247	1.716618	0.0449182
383	1	-13.06956	-15.2181	2.148535	0.02916372
384	0	-13.06465	-14.90124	1.836595	0.03983978
385	1	-13.16068	-14.93534	1.77466	0.04238528
386	0	-13.66667	-15.2365	1.569836	0.05201984
387	1	-13.39028	-15.67999	2.289707	0.02532404
388	0	-13.82127	-15.34359	1.522321	0.05455122
389	1	-12.96799	-14.91451	1.946526	0.03569232
390	0	-12.96329	-14.99337	2.030086	0.03283105
391	1	-13.1133	-14.91623	1.802934	0.04120366
392	0	-12.97236	-14.90948	1.937123	0.03602951
393	1	-12.97815	-14.90474	1.926586	0.03641113
394	0	-14.20105	-15.61989	1.418834	0.06049901
395	1	-15.33224	-16.50102	1.168783	0.0776862
396	0	-13.01863	-15.12771	2.109074	0.03033756
397	1	-13.81621	-15.34003	1.523816	0.05446973
398	0	-13.22914	-14.9679	1.738756	0.04393472
399	1	-13.29584	-15.55288	2.257039	0.02616498
400	0	-12.96278	-14.92365	1.960864	0.03518418
401	1	-14.84246	-16.11214	1.269672	0.0702309
402	0	-13.0741	-14.90366	1.829565	0.04012084
403	1	-13.02849	-14.8952	1.866711	0.03865785
404	0	-13.65952	-16.02495	2.365429	0.02347725
405	1	-13.45945	-15.10071	1.641266	0.04843366
406	0	-14.76072	-16.04815	1.287432	0.06899462
407	1	-14.10005	-15.54495	1.444904	0.05894218
408	0	-13.03257	-15.15376	2.121192	0.02997217
409	1	-12.96117	-14.98394	2.022761	0.03307242
410	0	-15.44809	-16.59418	1.146087	0.07946956
411	1	-15.88449	-16.94828	1.06379	0.08628628
412	0	-14.58503	-15.91171	1.326687	0.06633871
413	1	-12.95781	-14.9589	2.001085	0.03379712
414	0	-15.2814	-16.46027	1.17887	0.07690657
415	1	-13.39828	-15.69056	2.292285	0.02525884
416	0	-13.73088	-15.2805	1.549612	0.05308258
417	1	-13.07616	-15.22905	2.152886	0.02903713
418	0	-13.67732	-15.24375	1.566428	0.05219739
419	1	-13.18623	-14.94692	1.760691	0.04298149
420	0	-14.86446	-17.44668	2.582223	0.01890144
421	1	-13.43975	-15.08843	1.648679	0.04807596
422	0	-15.31058	-17.95095	2.640365	0.01783381
423	1	-12.95764	-14.9534	1.995761	0.03397754
424	0	-13.03153	-14.89546	1.863929	0.03876557
425	1	-13.35915	-15.03967	1.680522	0.04656916
426	0	-14.39136	-15.76329	1.371933	0.06340403
427	1	-14.95902	-16.20387	1.244849	0.07199606
428	0	-13.00801	-15.10685	2.098837	0.03064972
429	1	-13.90001	-16.3201	2.420089	0.02222842
430	0	-13.89283	-15.39439	1.501563	0.05569541
431	1	-14.40434	-15.77317	1.368828	0.06360126
432	0	-13.45359	-15.09705	1.643456	0.04832772
433	1	-13.05025	-15.18523	2.134975	0.02956188
434	0	-12.97002	-15.01689	2.046871	0.03228459
435	1	-13.06701	-14.90182	1.834807	0.03991107
436	0	-13.02434	-15.13854	2.114197	0.03018255
437	1	-13.14633	-15.33921	2.192881	0.02789868
